upstream,vuln_id,osv,Valid,fix_urls
https://github.com/vim/vim,CVE-2022-3099,https://osv.dev/vulnerability/CVE-2022-3099,TRUE,https://archive.softwareheritage.org/browse/revision/35d21c6830fc2d68aca838424a0e786821c5891c/
https://github.com/vim/vim,CVE-2022-3520,https://osv.dev/vulnerability/CVE-2022-3520,TRUE,https://archive.softwareheritage.org/browse/revision/36343ae0fb7247e060abfd35fb8e4337b33abb4b/
https://github.com/vim/vim,CVE-2022-0413,https://osv.dev/vulnerability/CVE-2022-0413,TRUE,https://archive.softwareheritage.org/browse/revision/37f47958b8a2a44abc60614271d9537e7f14e51a/
https://github.com/nextcloud/desktop,CVE-2021-22879,https://osv.dev/vulnerability/CVE-2021-22879,FALSE,https://archive.softwareheritage.org/browse/revision/3842d306f950f631482d29466b52667eb2073f1f/
https://github.com/vim/vim,CVE-2022-1720,https://osv.dev/vulnerability/CVE-2022-1720,TRUE,https://archive.softwareheritage.org/browse/revision/395bd1f6d3edc9f7edb5d1f2d7deaf5a9e3ab93c/
https://github.com/vim/vim,CVE-2023-0054,https://osv.dev/vulnerability/CVE-2023-0054,TRUE,https://archive.softwareheritage.org/browse/revision/3ac1d97a1d9353490493d30088256360435f7731/
https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-4154,https://osv.dev/vulnerability/CVE-2021-4154,TRUE,https://archive.softwareheritage.org/browse/revision/3b0462726e7ef281c35a7a4ae33e93ee2bc9975b/
https://github.com/microsoft/vscode,CVE-2021-28471,https://osv.dev/vulnerability/CVE-2021-28471,FALSE,https://archive.softwareheritage.org/browse/revision/3c4e3df9e89829dce27b7b5c24508306b151f30d/
https://github.com/microsoft/vscode,CVE-2021-28473,https://osv.dev/vulnerability/CVE-2021-28473,FALSE,https://archive.softwareheritage.org/browse/revision/3c4e3df9e89829dce27b7b5c24508306b151f30d/
https://github.com/microsoft/vscode,CVE-2021-28475,https://osv.dev/vulnerability/CVE-2021-28475,FALSE,https://archive.softwareheritage.org/browse/revision/3c4e3df9e89829dce27b7b5c24508306b151f30d/
https://github.com/microsoft/vscode,CVE-2021-28457,https://osv.dev/vulnerability/CVE-2021-28457,FALSE,https://archive.softwareheritage.org/browse/revision/3c4e3df9e89829dce27b7b5c24508306b151f30d/
https://github.com/microsoft/vscode,CVE-2021-28469,https://osv.dev/vulnerability/CVE-2021-28469,FALSE,https://archive.softwareheritage.org/browse/revision/3c4e3df9e89829dce27b7b5c24508306b151f30d/
https://github.com/vim/vim,CVE-2022-2284,https://osv.dev/vulnerability/CVE-2022-2284,TRUE,https://archive.softwareheritage.org/browse/revision/3d51ce18ab1be4f9f6061568a4e7fabf00b21794/
https://github.com/vim/vim,CVE-2022-1968,https://osv.dev/vulnerability/CVE-2022-1968,TRUE,https://archive.softwareheritage.org/browse/revision/409510c588b1eec1ae33511ae97a21eb8e110895/
https://github.com/golang/go,CVE-2019-6486,https://osv.dev/vulnerability/CVE-2019-6486,TRUE,https://archive.softwareheritage.org/browse/revision/42b42f71cf8f5956c09e66230293dfb5db652360/
https://github.com/vim/vim,CVE-2022-2000,https://osv.dev/vulnerability/CVE-2022-2000,TRUE,https://archive.softwareheritage.org/browse/revision/44a3f3353e0407e9fffee138125a6927d1c9e7e5/
https://github.com/vim/vim,CVE-2022-0407,https://osv.dev/vulnerability/CVE-2022-0407,TRUE,https://archive.softwareheritage.org/browse/revision/44db8213d38c39877d2148eff6a72f4beccfb94e/
https://github.com/vim/vim,CVE-2022-1769,https://osv.dev/vulnerability/CVE-2022-1769,TRUE,https://archive.softwareheritage.org/browse/revision/4748c4bd64610cf943a431d215bb1aad51f8d0b4/
https://github.com/golang/go,CVE-2023-29400,https://osv.dev/vulnerability/CVE-2023-29400,FALSE,https://archive.softwareheritage.org/browse/revision/484330d038d060c6e4db3dc8e6ea2b811b2a44d8/
https://github.com/golang/go,CVE-2023-24539,https://osv.dev/vulnerability/CVE-2023-24539,FALSE,https://archive.softwareheritage.org/browse/revision/484330d038d060c6e4db3dc8e6ea2b811b2a44d8/
https://github.com/golang/go,CVE-2023-24540,https://osv.dev/vulnerability/CVE-2023-24540,FALSE,https://archive.softwareheritage.org/browse/revision/484330d038d060c6e4db3dc8e6ea2b811b2a44d8/
https://github.com/microsoft/vscode,CVE-2020-1416,https://osv.dev/vulnerability/CVE-2020-1416,FALSE,https://archive.softwareheritage.org/browse/revision/485c41f9460bdb830c4da12c102daff275415b53/
https://github.com/git-for-windows/git,CVE-2023-23618,https://osv.dev/vulnerability/CVE-2023-23618,TRUE,https://archive.softwareheritage.org/browse/revision/49a8ec9dac3cec6602f05fed1b3f80a549c8c05c/
https://github.com/redis/redis,CVE-2022-33105,https://osv.dev/vulnerability/CVE-2022-33105,TRUE,https://archive.softwareheritage.org/browse/revision/4a7a4e42db8ff757cdf3f4a824f66426036034ef/
https://github.com/vim/vim,CVE-2021-4192,https://osv.dev/vulnerability/CVE-2021-4192,TRUE,https://archive.softwareheritage.org/browse/revision/4c13e5e6763c6eb36a343a2b8235ea227202e952/
https://github.com/vim/vim,CVE-2023-4734,https://osv.dev/vulnerability/CVE-2023-4734,TRUE,https://archive.softwareheritage.org/browse/revision/4c6fe2e2ea62469642ed1d80b16d39e616b25cf5/
https://github.com/vim/vim,CVE-2022-1927,https://osv.dev/vulnerability/CVE-2022-1927,TRUE,https://archive.softwareheritage.org/browse/revision/4d97a565ae8be0d4debba04ebd2ac3e75a0c8010/
https://github.com/rails/rails,CVE-2020-8162,https://osv.dev/vulnerability/CVE-2020-8162,FALSE,https://archive.softwareheritage.org/browse/revision/4dcc5435e9569e084f6f90fcea6e7c37d7bd2b4d/
https://github.com/vim/vim,CVE-2022-3037,https://osv.dev/vulnerability/CVE-2022-3037,TRUE,https://archive.softwareheritage.org/browse/revision/4f1b083be43f351bc107541e7b0c9655a5d2c0bb/
https://github.com/microsoft/vscode,CVE-2021-34529,https://osv.dev/vulnerability/CVE-2021-34529,TRUE,https://archive.softwareheritage.org/browse/revision/507ce72a4466fbb27b715c3722558bb15afa9f48/
https://github.com/git/git,CVE-2023-29007,https://osv.dev/vulnerability/CVE-2023-29007,TRUE,https://archive.softwareheritage.org/browse/revision/528290f8c61222433a8cf02fb7cfffa8438432b4/
https://github.com/vim/vim,CVE-2022-2304,https://osv.dev/vulnerability/CVE-2022-2304,TRUE,https://archive.softwareheritage.org/browse/revision/54e5fed6d27b747ff152cdb6edfb72ff60e70939/
https://github.com/github/cmark-gfm,CVE-2023-22483,https://osv.dev/vulnerability/CVE-2023-22483,FALSE,https://archive.softwareheritage.org/browse/revision/57d5e093ef801f54bf4174c900f7a863599bb47d/
https://github.com/github/cmark-gfm,CVE-2023-22486,https://osv.dev/vulnerability/CVE-2023-22486,FALSE,https://archive.softwareheritage.org/browse/revision/57d5e093ef801f54bf4174c900f7a863599bb47d/
https://github.com/github/cmark-gfm,CVE-2023-22484,https://osv.dev/vulnerability/CVE-2023-22484,FALSE,https://archive.softwareheritage.org/browse/revision/57d5e093ef801f54bf4174c900f7a863599bb47d/
https://github.com/vim/vim,CVE-2022-0318,https://osv.dev/vulnerability/CVE-2022-0318,TRUE,https://archive.softwareheritage.org/browse/revision/57df9e8a9f9ae1aafdde9b86b10ad907627a87dc/
https://gitlab.freedesktop.org/xorg/xserver,CVE-2023-6478,https://osv.dev/vulnerability/CVE-2023-6478,TRUE,https://archive.softwareheritage.org/browse/revision/14f480010a93ff962fef66a16412fafff81ad632/ https://archive.softwareheritage.org/browse/revision/58e83c683950ac9e253ab05dd7a13a8368b70a3c/ https://archive.softwareheritage.org/browse/revision/aaf854fb25541380cc38a221c15f0e8372f48872/
https://github.com/vim/vim,CVE-2022-0685,https://osv.dev/vulnerability/CVE-2022-0685,TRUE,https://archive.softwareheritage.org/browse/revision/5921aeb5741fc6e84c870d68c7c35b93ad0c9f87/
https://github.com/vim/vim,CVE-2022-0943,https://osv.dev/vulnerability/CVE-2022-0943,TRUE,https://archive.softwareheritage.org/browse/revision/5c68617d395f9d7b824f68475b24ce3e38d653a3/
https://github.com/vim/vim,CVE-2022-2287,https://osv.dev/vulnerability/CVE-2022-2287,TRUE,https://archive.softwareheritage.org/browse/revision/5e59ea54c0c37c2f84770f068d95280069828774/
https://github.com/vim/vim,CVE-2022-2175,https://osv.dev/vulnerability/CVE-2022-2175,TRUE,https://archive.softwareheritage.org/browse/revision/6046aded8da002b08d380db29de2ba0268b6616e/
https://github.com/vim/vim,CVE-2021-4136,https://osv.dev/vulnerability/CVE-2021-4136,TRUE,https://archive.softwareheritage.org/browse/revision/605ec91e5a7330d61be313637e495fa02a6dc264/
https://github.com/vim/vim,CVE-2022-1733,https://osv.dev/vulnerability/CVE-2022-1733,TRUE,https://archive.softwareheritage.org/browse/revision/60ae0e71490c97f2871a6344aca61cacf220f813/
https://github.com/vim/vim,CVE-2021-3973,https://osv.dev/vulnerability/CVE-2021-3973,TRUE,https://archive.softwareheritage.org/browse/revision/615ddd5342b50a6878a907062aa471740bd9a847/
https://github.com/qemu/qemu,CVE-2022-3872,https://osv.dev/vulnerability/CVE-2022-3872,FALSE,https://archive.softwareheritage.org/browse/revision/621da7789083b80d6f1ff1c0fb499334007b4f51/
https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://osv.dev/vulnerability/CVE-2021-45485,TRUE,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/
https://github.com/vim/vim,CVE-2021-3974,https://osv.dev/vulnerability/CVE-2021-3974,TRUE,https://archive.softwareheritage.org/browse/revision/64066b9acd9f8cffdf4840f797748f938a13f2d6/
