fork,upstream,vuln_id,head_swh,fix_urls,manual evaluation,Owner notification,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://github.com/Bitcoin-ABC/bitcoin-abc,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/11abbbdb2aba09311036524e63ad9166c80fb605,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,NOT AFFECTED,,,,
https://github.com/KomodoPlatform/komodo,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/a89b6e8795aa6ee6771bf465e7a7e710ce363266,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,,,,,
https://github.com/PirateNetwork/pirate,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/13090b9f282983206a3ffd144790c3bb66ac5303,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,,,,,
https://github.com/alibaba/cloud-kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/d121e0c25d1a19485d7f293b67901462bb1a6552,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,,,,,
https://github.com/alibaba/cloud-kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-4154,https://archive.softwareheritage.org/browse/revision/d121e0c25d1a19485d7f293b67901462bb1a6552,https://archive.softwareheritage.org/browse/revision/3b0462726e7ef281c35a7a4ae33e93ee2bc9975b/,POSITIVE,,,,,
https://github.com/ddnet/ddnet,https://github.com/teeworlds/teeworlds,CVE-2020-12066,https://archive.softwareheritage.org/browse/revision/5705099446da32e686ab022c82a969e9277e7c9e,https://archive.softwareheritage.org/browse/revision/c68402fa7e279d42886d5951d1ea8ac2facc1ea5/,POSITIVE,,,,,
https://github.com/syscoin/syscoin,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/078ab980cdf58d17e346e915bbe63b44cb5bc313,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,,,,,
https://github.com/syndbg/goenv,https://github.com/pyenv/pyenv,CVE-2022-35861,https://archive.softwareheritage.org/browse/revision/46e3707bb973809ac9b815d041e983e861b0d984,https://archive.softwareheritage.org/browse/revision/22fa683571d98b59ea16e5fe48ac411c67939653/,POSITIVE,AFFECTED,,,,
https://github.com/reMarkable/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/20b9954fd6345ecd241c135d87081b4e10b4febc,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,,,,,
https://github.com/sonyxperiadev/kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/9ac561909bae9136f07ed94ffcad068fc24603ad,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,NOT AFFECTED,,,,
